dataset,omitted_detector,method,m,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),Robust diagonal distance,Best-rank fusion,213,0.28579434340897625,0.007417793869042221,0.278376549539934,0.14128797944902116,0.29380149164721736,3190.0,119715.0,430047,0.3038930854154562,0.1532078413500247,0.1903892912680813,0.49861269089893095,0.3847752559682651,0.3655056181295868,0.8253146853146853,0.36619718309859156,0.4413145539906103,0.4431818181818182,0.19957537154989385
ADBench Mammography (binary stress test),Isolation forest,Borda mean rank,260,0.21153097976441113,0.0015610808553581683,0.20996989890905296,0.13323433323433323,0.21245924267072303,4486.0,603380.0,2873650,0.21403883125937506,0.13898918439640895,0.22317579373093957,0.2829053305750182,0.17816658232066304,0.17816658232066304,0.826074831512898,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
ADBench Mammography (binary stress test),Isolation forest,Median rank,260,0.23583038992222435,0.0025110921650166166,0.23331929775720772,0.21431541431541432,0.23608546539060135,7216.0,670478.0,2873650,0.23862632835442504,0.14713960961228653,0.3475378688245445,0.3139207981687741,0.21399432173156885,0.21399432173156885,0.8451960929302319,0.25384615384615383,0.25384615384615383,0.25384615384615383,0.25384615384615383
ADBench Mammography (binary stress test),Isolation forest,Reciprocal-rank fusion,260,0.22763802133175579,0.0021018565239329773,0.2255361648078228,0.1793881793881794,0.22821005781730858,6040.0,648112.0,2873650,0.23033683335798139,0.13678918195065293,0.29389849203631785,0.3035830502448387,0.18601103384659592,0.18601103384659592,0.8209135275600532,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617
ADBench Mammography (binary stress test),Isolation forest,Rank product,260,0.2390430289005272,0.0018321646686270076,0.2372108642319002,0.15637065637065636,0.24002316917724772,5265.0,681661.0,2873650,0.24187705547222163,0.14055611204913732,0.2523252786173693,0.31123662609024005,0.193944401282368,0.193944401282368,0.829750913738829,0.25769230769230766,0.25769230769230766,0.25769230769230766,0.25769230769230766
ADBench Mammography (binary stress test),Isolation forest,Best-rank fusion,260,0.191774920397404,0.0012628538618133732,0.19051206653559064,0.10778140778140778,0.1927707237374911,3629.0,547465.0,2873650,0.19404854963767348,0.12767383548196012,0.18625465457092052,0.25458516046127727,0.13576580171480443,0.13576580171480443,0.7995285178064635,0.21153846153846154,0.21153846153846154,0.21153846153846154,0.21153846153846154
ADBench Mammography (binary stress test),Local outlier factor,Borda mean rank,260,0.18052024428862248,0.0016828771771092513,0.17883736711151324,0.14362934362934363,0.18095761237755195,4836.0,513916.0,2873650,0.18266044127071318,0.13985639780421205,0.2534144613452224,0.25890599955902993,0.16840603957251604,0.16840603957251604,0.8281093528827668,0.2,0.2,0.2,0.2
ADBench Mammography (binary stress test),Local outlier factor,Median rank,260,0.24275955666138882,0.001657125954796165,0.24110243070659265,0.14143154143154144,0.2439608729638941,4762.0,692844.0,2873650,0.24563764533553054,0.1493991973337258,0.22712386088765063,0.3214412191892423,0.21257513530423952,0.21257513530423952,0.8504971865999056,0.26153846153846155,0.26153846153846155,0.26153846153846155,0.26153846153846155
ADBench Mammography (binary stress test),Local outlier factor,Reciprocal-rank fusion,260,0.22356932820628816,0.0019247298731578306,0.22164459833313033,0.16427086427086426,0.22427235403066217,5531.0,636929.0,2873650,0.22621990295706307,0.13981632407976008,0.2705694211130652,0.30277852379571146,0.1886202700723345,0.1886202700723345,0.828015338136184,0.2423076923076923,0.2423076923076923,0.2423076923076923,0.2423076923076923
ADBench Mammography (binary stress test),Local outlier factor,Rank product,260,0.223357750595932,0.0017131522628016634,0.22164459833313033,0.14621324621324622,0.22427235403066217,4923.0,636929.0,2873650,0.22600581694237282,0.14266456029296187,0.24082684146440422,0.29927684253549036,0.189660782120797,0.189660782120797,0.8346974274466721,0.2423076923076923,0.2423076923076923,0.2423076923076923,0.2423076923076923
