dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
UCI Cardiotocography (ordinal),Median rank,aggregate,425,False,0.22409028012668736,0.018768180560253374,0.205322099566434,0.16935627081021087,0.23091192032368502,15259.0,166932.0,813025,0.24121833191004838,0.1624107756811934,0.2334170290294507,0.5055890176992662,0.4137801723049736,0.3776909904152502,0.8478613053613053,0.2752941176470588,0.3764705882352941,0.6647727272727273,0.33970276008492567
UCI Cardiotocography (ordinal),Reciprocal-rank fusion,aggregate,176,False,0.33424428332403794,0.0045036252091466816,0.3297406581148912,0.10487012987012986,0.3445367132867133,1615.0,118245.0,358600,0.34924242424242424,0.19185695487560994,0.13869074661252967,0.5099774656597614,0.40643959033874266,0.3810224170149529,0.8486043123543123,0.4034090909090909,0.48863636363636365,0.4034090909090909,0.18259023354564755
UCI Cardiotocography (ordinal),Reciprocal-rank fusion,aggregate,213,True,0.32448778854404287,0.00435998855939002,0.32012779998465285,0.08304544246611746,0.33786619350183694,1875.0,137670.0,430047,0.34503690333428116,0.19185695487560994,0.10987035210980264,0.5272248561328494,0.40643959033874266,0.3810224170149529,0.8486043123543123,0.38967136150234744,0.4788732394366197,0.4715909090909091,0.21656050955414013
UCI Cardiotocography (ordinal),Reciprocal-rank fusion,aggregate,425,False,0.21419882537437349,0.01781003044186833,0.19638879493250516,0.16071032186459488,0.22086523498288205,14480.0,159669.0,813025,0.2305708365605492,0.19185695487560994,0.22256604301972138,0.4952312868829471,0.40643959033874266,0.3810224170149529,0.8486043123543123,0.26823529411764707,0.36941176470588233,0.6477272727272727,0.3333333333333333
UCI Cardiotocography (ordinal),Rank product,aggregate,176,False,0.32422197434467376,0.0053569436698271055,0.3188650306748466,0.12474025974025973,0.3331730769230769,1921.0,114345.0,358600,0.3387703962703963,0.17859544769715607,0.16643085659428247,0.5058944555005848,0.405998959421487,0.374887254685382,0.8446503496503497,0.4034090909090909,0.4772727272727273,0.4034090909090909,0.17834394904458598
UCI Cardiotocography (ordinal),Rank product,aggregate,213,True,0.3249109981002076,0.004783198115554811,0.32012779998465285,0.09110638674816193,0.33786619350183694,2057.0,137670.0,430047,0.3454869138427683,0.17859544769715607,0.12053510095459416,0.5275561148678267,0.405998959421487,0.374887254685382,0.8446503496503497,0.38967136150234744,0.4788732394366197,0.4715909090909091,0.21656050955414013
UCI Cardiotocography (ordinal),Rank product,aggregate,425,False,0.21630946157867223,0.01752221641400941,0.19878724516466284,0.15811320754716982,0.2235626102292769,14246.0,161619.0,813025,0.23284279652321277,0.17859544769715607,0.21844914248628472,0.4966986521781587,0.405998959421487,0.374887254685382,0.8446503496503497,0.26823529411764707,0.37176470588235294,0.6477272727272727,0.3354564755838641
UCI Cardiotocography (ordinal),Best-rank fusion,aggregate,176,False,0.2605409927495817,0.007875069715560514,0.2526659230340212,0.1833766233766234,0.2640034965034965,2824.0,90606.0,358600,0.27223193473193474,0.21690452257713996,0.2499048503001084,0.44607215575328174,0.3610420521806677,0.3762899868432682,0.843927738927739,0.3522727272727273,0.42045454545454547,0.3522727272727273,0.15711252653927812
UCI Cardiotocography (ordinal),Best-rank fusion,aggregate,213,True,0.2391017725969487,0.008106090729617925,0.23099568186733077,0.15439808663300558,0.24379523350242596,3486.0,99339.0,430047,0.2542435743691817,0.21690452257713996,0.2134270233104719,0.45459366810228624,0.3610420521806677,0.3762899868432682,0.843927738927739,0.3380281690140845,0.39906103286384975,0.4090909090909091,0.18046709129511676
UCI Cardiotocography (ordinal),Best-rank fusion,aggregate,425,False,0.22015682174594878,0.011775775652655208,0.20838104609329355,0.10625971143174251,0.2343521112148563,9574.0,169419.0,813025,0.2369842247069026,0.21690452257713996,0.14546477217096015,0.48519759128604273,0.3610420521806677,0.3762899868432682,0.843927738927739,0.26823529411764707,0.3811764705882353,0.6477272727272727,0.34394904458598724
ADBench Mammography (binary stress test),Base: Isolation forest,base,130,False,0.27942779055889017,0.0010468595941948765,0.2783809309646953,0.1804412641621944,0.2800054283904822,1513.0,402337.0,1445275,0.2844034112916288,0.15485027448118194,0.2773539752353792,0.3853238310778537,0.19912686932760976,0.19912686932760976,0.8632856569412461,0.3,0.3,0.15,0.15
